Date,Payee,Category,Memo,Outflow,Inflow
01/18/2016,,,GRACIAS POR SU PAGO - BEL/ATM,0,2597.81
01/26/2016,,,GRACIAS POR SU PAGO - BEL/ATM,0,295.44
01/14/2016,,,PANNET                 PANAMA        P,25.00,0
01/17/2016,,,AMAZON.COM AMZN.COM/BI AMZN.COM/BILL W,96.90,0
01/18/2016,,,DELTA LLANO BONITO,39.50,0
01/18/2016,,,AMAZON.COM             AMZN.COM/BILL W,22.20,0
01/18/2016,,,RESTAURANTE MATSUEI    PANAMA        P,52.57,0
01/20/2016,,,REST. Y PIZZERIA LOS T,28.12,0
01/20/2016,,,PANAPASS               PANAMA        P,23.60,0
01/21/2016,,,KFC TUMBA MUERTO,7.55,0
01/25/2016,,,SHOPIFY-CHARGE.COM     8887467439    I,14.00,0
01/27/2016,,,REST. Y PIZZERIA LOS T,29.13,0
01/27/2016,,,ANIMAL & PETS,49.63,0
01/27/2016,,,PANAPASS               PANAMA        P,17.80,0
01/28/2016,,,SUPER CENTRO MELO N2-R BETHANIA      P,49.73,0
01/29/2016,,,DELTA COSTA DEL ESTE,38.00,0
01/29/2016,,,SUPER 7 ESTACION PUMA  PANAMA        P,5.75,0
01/30/2016,,,MINI SUPER FRUTERIA MI,13.90,0
02/01/2016,,,AMBROSIA CAFE & BAKERY,17.65,0
